"time_horizon","mean_car","car_95","cvar_95","method","car_95_kg","mean_car_kg"
1,0.017731333288452,0.0736325526496038,0.0931808326759565,"Empirical resampling",73.6325526496038,17.731333288452
2,0.0346650183756095,0.116627992255625,0.132130356890852,"Empirical resampling",116.627992255625,34.6650183756095
3,0.0521089678905268,0.13774472591814,0.167269061147763,"Empirical resampling",137.74472591814,52.1089678905268
4,0.06797702480992,0.15769456776605,0.193679290768118,"Empirical resampling",157.69456776605,67.97702480992
5,0.0843032261250686,0.183845289579481,0.221490001271493,"Empirical resampling",183.845289579481,84.3032261250686
6,0.0993747987217884,0.211388899634061,0.247507869796105,"Empirical resampling",211.388899634061,99.3747987217884
7,0.114186705818764,0.228937676483793,0.266156125499107,"Empirical resampling",228.937676483793,114.186705818764
8,0.128363166201973,0.245926991255659,0.28352527330484,"Empirical resampling",245.926991255659,128.363166201973
9,0.141919593639926,0.265120652669694,0.300513648903823,"Empirical resampling",265.120652669694,141.919593639926
10,0.155061073572351,0.281638449057593,0.315944313529765,"Empirical resampling",281.638449057593,155.061073572351
11,0.168027986291887,0.298323336562893,0.333375207865334,"Empirical resampling",298.323336562893,168.027986291887
12,0.180406065866685,0.310046155491996,0.345145078250301,"Empirical resampling",310.046155491996,180.406065866685
13,0.192474173910631,0.324108572887647,0.358741058525828,"Empirical resampling",324.108572887647,192.474173910631
14,0.204445969156378,0.336915862460631,0.36926081681818,"Empirical resampling",336.915862460631,204.445969156378
15,0.215918042218022,0.34577305706924,0.379526181047983,"Empirical resampling",345.77305706924,215.918042218022
16,0.227152718723254,0.358071839117561,0.39232198052248,"Empirical resampling",358.071839117561,227.152718723254
17,0.237939046893467,0.369855814463803,0.40523913225929,"Empirical resampling",369.855814463803,237.939046893467
18,0.248047157952965,0.380320617110698,0.415084467078908,"Empirical resampling",380.320617110698,248.047157952965
19,0.257708264164631,0.391032074747331,0.423150950873736,"Empirical resampling",391.032074747331,257.708264164631
20,0.267597781811816,0.397122405773789,0.431225255805809,"Empirical resampling",397.122405773789,267.597781811816
21,0.277166855305142,0.407668457213298,0.441238677279398,"Empirical resampling",407.668457213298,277.166855305142
22,0.285848030552869,0.416049077205713,0.450388556927274,"Empirical resampling",416.049077205713,285.848030552869
23,0.294677824708103,0.423784333907277,0.458455770510084,"Empirical resampling",423.784333907277,294.677824708103
24,0.303102524634746,0.432934267949887,0.467964678721677,"Empirical resampling",432.934267949887,303.102524634746
25,0.311139604648506,0.440596264497397,0.472761595954252,"Empirical resampling",440.596264497397,311.139604648506
26,0.319066368945365,0.450251067010889,0.479045653031252,"Empirical resampling",450.251067010889,319.066368945365
27,0.326332651907472,0.455339690461057,0.484708053332358,"Empirical resampling",455.339690461057,326.332651907472
28,0.333596386923124,0.460820863011959,0.491225797288345,"Empirical resampling",460.820863011959,333.596386923124
29,0.340104720671138,0.468110066135142,0.49865455639543,"Empirical resampling",468.110066135142,340.104720671138
30,0.347046367382005,0.475272603944233,0.503329346986382,"Empirical resampling",475.272603944233,347.046367382005
31,0.353916285256985,0.479661625715835,0.508320534200672,"Empirical resampling",479.661625715835,353.916285256985
32,0.359858504091864,0.484556171273297,0.513964050173964,"Empirical resampling",484.556171273297,359.858504091864
33,0.366084128397945,0.487237488346397,0.51745883168209,"Empirical resampling",487.237488346397,366.084128397945
34,0.371610797268485,0.493034499750169,0.521818341627529,"Empirical resampling",493.034499750169,371.610797268485
35,0.378243846176085,0.499588326519796,0.528120437889617,"Empirical resampling",499.588326519796,378.243846176085
36,0.38393290167988,0.506063955685094,0.533330192156111,"Empirical resampling",506.063955685094,383.93290167988
37,0.389606590458149,0.5103297491746,0.538224319947996,"Empirical resampling",510.3297491746,389.606590458149
38,0.39470625143836,0.513275064738177,0.541996518394231,"Empirical resampling",513.275064738177,394.70625143836
39,0.399610921882128,0.521317317724033,0.547158292351911,"Empirical resampling",521.317317724033,399.610921882128
40,0.404795777201905,0.525052197319717,0.552964855899882,"Empirical resampling",525.052197319717,404.795777201905
41,0.409324039338158,0.53121689847547,0.557274320065225,"Empirical resampling",531.21689847547,409.324039338158
42,0.413800652865097,0.532176319012106,0.559872972622168,"Empirical resampling",532.176319012106,413.800652865097
43,0.418413755887773,0.536665553418629,0.563025171727775,"Empirical resampling",536.665553418629,418.413755887773
