region,iso,adm1,total_loss_ha,non_fire_anthropogenic_ha,non_fire_anthropogenic_share,wildfire_ha,wildfire_share,other_natural_ha,other_natural_share,unknown_ha,unknown_share
California,USA,5,3117976.1229501064,600513.6403120436,0.1925972543188885,2498098.4590886515,0.8011922992935074,14118.100799895328,0.004527969504313374,5245.922749516396,0.0016824768832908541
Mato Grosso,BRA,12,14614571.683449365,11080266.641847268,0.7581656775063337,3347470.572997044,0.22905020040977117,169294.64223354537,0.011583961945683792,17539.826371507654,0.0012001601382113077
Papua,IDN,23,813242.2429256312,626931.1835962001,0.7709033674158651,54817.35234274903,0.06740593325002908,114554.08458058417,0.14086096188077607,16939.622406098017,0.020829737453329878
