region,spec,window,horizon,mean_loss,car_95,car_99
California,fire only,Full record (2001-25),44,422.8832498005846,542.6102235255819,588.5954930632785
California,fire only,Full record (2001-25),45,426.7382002689172,545.8988524484748,584.5164394456598
California,fire only,Full record (2001-25),46,430.84772665649365,546.6294338042757,588.7834092407425
California,fire only,Full record (2001-25),47,434.96781096120355,551.4217584322437,592.5732715571015
California,fire only,Full record (2001-25),48,438.67600530023054,553.5617120482644,596.924878091788
California,fire only,Full record (2001-25),49,442.510220376143,554.7392776329324,597.5907275006335
California,fire only,Full record (2001-25),50,446.14521057006704,560.9604430371226,599.0233062801377
California,fire only,Full record (2001-25),51,449.8164458868332,563.2909209494629,608.2902986926147
California,fire only,Full record (2001-25),52,453.87362314969926,568.3608054504732,610.6750753839534
California,fire only,Full record (2001-25),53,457.136142078072,572.7434633477498,613.3880092437114
California,fire only,Full record (2001-25),54,460.54965619706684,576.3062953656461,617.0804070554066
California,fire only,Full record (2001-25),55,463.4573157467546,576.3889552212585,615.6107135188447
California,fire only,Full record (2001-25),56,466.598499653091,577.5404683326274,616.0628072762714
California,fire only,Full record (2001-25),57,469.35753343042796,579.7844011517219,617.7443362450475
California,fire only,Full record (2001-25),58,472.12009403352454,580.2061188233422,615.8358056674332
California,fire only,Full record (2001-25),59,475.1577502281551,583.1521884440497,623.7639235153532
California,fire only,Full record (2001-25),60,478.24667680285677,586.9909290173692,625.9534394371087
California,fire only,Full record (2001-25),61,480.96193898987786,588.0697952221511,629.7979093802796
California,fire only,Full record (2001-25),62,483.1350131390947,590.2276660589746,628.9246354486841
California,fire only,Full record (2001-25),63,485.6031819955294,593.1634026522945,635.6356454900294
California,fire only,Full record (2001-25),64,487.54505268413413,595.5275782560683,635.0511811500307
California,fire only,Full record (2001-25),65,490.10350251475376,596.8625671470356,636.0850337783448
California,fire only,Full record (2001-25),66,492.50815167774084,597.1386406006593,643.3300567386967
California,fire only,Full record (2001-25),67,495.55425944448626,599.0754329928462,640.8951470628213
California,fire only,Full record (2001-25),68,497.4585992731803,602.869446075962,644.8733155442654
California,fire only,Full record (2001-25),69,499.84344619785816,603.9363916810479,648.689093617012
California,fire only,Full record (2001-25),70,502.2251956705547,608.1598960466623,650.5048999831033
California,fire only,Full record (2001-25),71,503.9249423815961,609.10966611851,652.4104642568392
California,fire only,Full record (2001-25),72,505.45696292805764,608.8189635663448,650.9798886776
California,fire only,Full record (2001-25),73,507.2025013068573,610.9365597395243,653.5500082183984
California,fire only,Full record (2001-25),74,508.85088341244256,610.0333398015514,650.3715173102262
California,fire only,Full record (2001-25),75,510.845144934443,612.0418249772969,655.1737082698533
California,fire only,Full record (2001-25),76,512.7398112990727,615.8180750714554,655.7900846497404
California,fire only,Full record (2001-25),77,514.8958366082007,618.1239646538954,656.6602225442916
California,fire only,Full record (2001-25),78,516.7412376192881,619.3886680141436,660.473955258846
California,fire only,Full record (2001-25),79,517.9735094149379,619.8539999707493,659.9001929693566
California,fire only,Full record (2001-25),80,519.9217024992284,621.2314670120707,662.4178128452784
California,fire only,Full record (2001-25),81,521.7603204853489,624.5227554925817,665.6009473688779
California,fire only,Full record (2001-25),82,523.7558229321754,627.0930141512342,665.2080458335817
California,fire only,Full record (2001-25),83,525.1997969071012,626.7050499881173,664.8700500591082
California,fire only,Full record (2001-25),84,526.8802340889013,629.7627226949464,669.2370624281698
California,fire only,Full record (2001-25),85,528.2869555325884,631.4005768331247,671.0539463102158
California,fire only,Full record (2001-25),86,529.9430510281451,634.1393801984212,667.9898880100891
California,fire only,Full record (2001-25),87,531.1771619565126,634.8792381961373,671.7630954011631
California,fire only,Full record (2001-25),88,532.8288013910986,634.5957501947136,670.9689691034783
California,fire only,Full record (2001-25),89,534.0003602533093,636.5221034935329,674.0386276978866
California,fire only,Full record (2001-25),90,535.4715517442495,638.7453127870705,679.7262495925788
California,fire only,Full record (2001-25),91,536.4764507403527,640.139904858751,677.8213407818174
California,fire only,Full record (2001-25),92,537.9716078213642,640.9729081276319,678.7973393173445
California,fire only,Full record (2001-25),93,539.0791201116054,640.6264804997197,677.5708413552486
California,fire only,Full record (2001-25),94,540.9095815608583,644.2585982777488,683.1065303257617
California,fire only,Full record (2001-25),95,542.1587536675329,642.7410418429832,682.8949969981085
California,fire only,Full record (2001-25),96,543.5077709530543,643.8150771397438,686.059565370094
California,fire only,Full record (2001-25),97,544.8995439137136,644.496062396004,687.4109585456284
California,fire only,Full record (2001-25),98,546.1798202887187,647.2388114669743,684.8566968162947
California,fire only,Full record (2001-25),99,547.3802848096348,647.031961410435,686.1816738256744
California,fire only,Full record (2001-25),100,548.5979504738644,648.8099695329823,686.1031572615345
California,fire only,Full record (2001-25),101,549.7601658945695,651.4798468717541,685.6156899837589
California,fire only,Full record (2001-25),102,551.6511919428449,653.2796354291256,693.2135981424791
California,fire only,Full record (2001-25),103,552.9796551861122,654.2967687159785,692.9914595635494
California,fire only,Full record (2001-25),104,554.0320971870337,654.3328658976319,696.2199017268388
California,fire only,Full record (2001-25),105,555.0228113902526,653.770371328735,693.2364978075213
California,fire only,Full record (2001-25),106,556.3328014332225,655.2290663091838,693.2196287621042
California,fire only,Full record (2001-25),107,556.9554217546755,656.55811320626,694.1613028107013
California,fire only,Full record (2001-25),108,557.9258045590615,657.6421971970581,693.8545220159299
California,fire only,Full record (2001-25),109,559.1857023303716,659.0850222889773,696.0023979400461
California,fire only,Full record (2001-25),110,560.2930548904473,658.8844674837825,695.1779432405415
California,fire only,Full record (2001-25),111,561.7670975584601,660.2632374813019,697.9313842814569
California,fire only,Full record (2001-25),112,562.8648475973397,661.6503322717087,698.5623597992505
California,fire only,Full record (2001-25),113,563.9266719516263,664.4733718746,701.0364869080281
California,fire only,Full record (2001-25),114,565.3167299133221,665.8771405512475,702.5749704300233
California,fire only,Full record (2001-25),115,565.8808635820445,664.7087228925831,705.1051929041141
California,fire only,Full record (2001-25),116,566.6306359524701,666.0790505050036,708.1719776199124
California,fire only,Full record (2001-25),117,567.6138863523369,665.6991115774256,707.0087272251925
California,fire only,Full record (2001-25),118,568.3047701708364,666.8878888109434,704.8071806899256
California,fire only,Full record (2001-25),119,569.3441002935234,669.4458164475672,708.3464215617399
California,fire only,Full record (2001-25),120,570.4061498046964,669.3643880186002,707.2078243781166
California,fire only,Full record (2001-25),121,571.0910350865013,673.1954908113929,707.4160504557616
California,fire only,Full record (2001-25),122,572.3851520958688,672.8901412966179,710.0331284238769
California,fire only,Full record (2001-25),123,573.2617489970086,672.5763846451283,709.2948818510932
California,fire only,Full record (2001-25),124,574.1221100346751,671.0669252556943,705.661464759184
California,fire only,Full record (2001-25),125,575.1310430686856,674.1214895043902,711.0824022822138
California,fire only,Full record (2001-25),126,575.5712429792745,673.5842140097939,709.1375116387825
California,fire only,Full record (2001-25),127,576.629206433099,674.4634339662182,711.6341704192986
California,fire only,Full record (2001-25),128,578.0901055341891,676.9444045287955,710.7172684319663
California,fire only,Full record (2001-25),129,579.0416479280409,679.4175534219169,714.9227317195576
California,fire only,Full record (2001-25),130,579.6094545277405,680.0567132499381,712.3202059837923
California,fire only,Full record (2001-25),131,580.478146883019,679.1085422755193,714.4031258331913
California,fire only,Full record (2001-25),132,581.5372314740889,680.520588292475,718.1876242258131
California,fire only,Full record (2001-25),133,582.7267266618009,681.3964338748264,717.9367905594913
California,fire only,Full record (2001-25),134,583.4985083059074,682.006236541732,720.9631828891398
California,fire only,Full record (2001-25),135,584.3746218059166,684.1682247538067,720.1362669577467
California,fire only,Full record (2001-25),136,585.4574177922699,684.9307962825691,722.0519062159852
California,fire only,Full record (2001-25),137,586.1986938357767,688.1427587762446,719.2647054882322
California,fire only,Full record (2001-25),138,587.0516757907388,687.4574172633136,727.0282182401183
California,fire only,Full record (2001-25),139,587.7473744283142,687.5404406987899,726.4909445975181
California,fire only,Full record (2001-25),140,588.996458628309,687.2795705148425,727.788890042151
California,fire only,Full record (2001-25),141,590.0697932210886,689.7275084191779,726.8445156469319
California,fire only,Full record (2001-25),142,590.9724220456868,691.3987772373858,726.6764044798708
California,fire only,Full record (2001-25),143,591.9686787832283,689.48080374746,727.4944860789014
California,fire only,Full record (2001-25),144,592.7598337361369,690.0787583302022,725.9525571106859
California,fire only,Full record (2001-25),145,593.4277911028107,690.3859070163379,726.6125335270204
California,fire only,Full record (2001-25),146,593.9421611650754,692.4843986214249,729.004175088268
California,fire only,Full record (2001-25),147,594.3179425595218,693.2028457246541,726.2065581159017
California,fire only,Full record (2001-25),148,595.649215127785,693.1182565051693,728.8369924397716
California,fire only,Full record (2001-25),149,596.7595499197338,694.9931466033756,728.2794993265875
California,fire only,Full record (2001-25),150,597.3231916770488,694.4664326318072,726.184739238793
California,fire only,Full record (2001-25),151,598.447681048003,695.9956323532426,732.4584442256854
California,fire only,Full record (2001-25),152,599.5524454014347,695.4019600172518,727.9307747440832
California,fire only,Full record (2001-25),153,600.0364870094636,695.8134172070488,735.4699562208122
California,fire only,Full record (2001-25),154,600.647849820128,698.9648336559434,734.9242108570999
California,fire only,Full record (2001-25),155,601.6427952594698,698.3801660889428,737.5352847649463
California,fire only,Full record (2001-25),156,602.8946871497749,700.3898890621796,735.2931133142115
California,fire only,Full record (2001-25),157,603.6215850064721,702.25927329892,735.5863090936996
California,fire only,Full record (2001-25),158,604.2790789494861,702.2968405027068,739.5185726709727
California,fire only,Full record (2001-25),159,604.8985943709789,702.3788152183332,742.2410218403506
California,fire only,Full record (2001-25),160,606.1656521389914,703.5608101213829,744.8825612065785
California,fire only,Full record (2001-25),161,606.4508999217994,704.2498620090001,745.3244891720038
California,fire only,Full record (2001-25),162,607.1154906204907,703.8334622383964,745.7484123093739
California,fire only,Full record (2001-25),163,607.798246833831,704.0562162105311,744.4081638307775
California,fire only,Full record (2001-25),164,608.2506769746172,705.9396310865923,741.2389761054186
California,fire only,Full record (2001-25),165,609.3156829193625,708.3472359794473,744.827459007413
California,fire only,Full record (2001-25),166,610.234980581627,710.3468563892104,743.1629343492759
California,fire only,Full record (2001-25),167,610.845238638724,709.4436640726151,743.9150138148693
California,fire only,Full record (2001-25),168,611.5396850355621,710.1537869131386,748.263591068084
California,fire only,Full record (2001-25),169,611.9752188232825,711.6381252378708,747.8418121754539
California,fire only,Full record (2001-25),170,612.7965133048601,710.471604268821,745.1192142418322
California,fire only,Full record (2001-25),171,613.7209885347323,711.9649528012521,746.2146795873157
California,fire only,Full record (2001-25),172,614.067359778408,712.5539289741106,743.8636212314161
California,fire only,Full record (2001-25),173,614.6362707149119,712.9991389399707,747.32717481844
California,fire only,Full record (2001-25),174,615.3185582341656,714.5211552439466,748.6813531491094
California,fire only,Full record (2001-25),175,615.92826915820865,715.3698790123078,753.568300765795
California,fire only,Full record (2001-25),176,616.8766355691523,715.9979577766534,752.3089611010743
California,fire only,Full record (2001-25),177,617.9016046822737,719.272055759639,754.0324695379041
California,fire only,Full record (2001-25),178,618.2419308030818,718.1473271573071,751.3166574749644
California,fire only,Full record (2001-25),179,618.883699756734,717.6051060290309,752.7992299950143
California,fire only,Full record (2001-25),180,619.8935328850416,717.7999368318373,755.9518161486803
California,fire only,Full record (2001-25),181,620.3233201707935,719.6582616835742,753.7624852838644
California,fire only,Full record (2001-25),182,621.2085651247656,719.5213141133348,753.5622266180773
California,fire only,Full record (2001-25),183,621.5638404042041,720.2162413581839,752.7289135530302
California,fire only,Full record (2001-25),184,621.9489720002788,719.0822314085666,759.2577593496741
California,fire only,Full record (2001-25),185,622.9055050343821,719.9458612936147,759.1021636800527
California,fire only,Full record (2001-25),186,623.8057029713806,722.453379190048,756.8845817446656
California,fire only,Full record (2001-25),187,624.6305290376936,724.6570966411455,761.3256431398158
California,fire only,Full record (2001-25),188,625.3359835982477,723.1181325495584,758.8304646395676
California,fire only,Full record (2001-25),189,625.4399376969612,725.6146026139323,762.7830619308517
California,fire only,Full record (2001-25),190,626.5570494606035,725.9925840368603,762.4760205713175
California,fire only,Full record (2001-25),191,626.9704162389547,726.3882602802888,762.7099183832171
California,fire only,Full record (2001-25),192,627.7123220493775,725.8182982122655,759.6863785125764
California,fire only,Full record (2001-25),193,628.1244283626557,726.8551125960586,762.6199780702588
California,fire only,Full record (2001-25),194,628.6471502216665,723.8233563939384,762.7029667372
California,fire only,Full record (2001-25),195,629.3564425020368,726.2509007142718,765.6922781632599
California,fire only,Full record (2001-25),196,629.845077072435,727.5262953347336,763.4190827053919
California,fire only,Full record (2001-25),197,630.4135545292562,727.0176792496279,767.4576609968034
California,fire only,Full record (2001-25),198,630.7946551672575,728.0036720801875,764.6362689878605
California,fire only,Full record (2001-25),199,631.7261807297172,730.3112850588535,763.9168171802957
California,fire only,Full record (2001-25),200,631.6782097582227,730.642316569229,767.2626554183325
California,gradual,Full record (2001-25),0,0,0,0
California,gradual,Full record (2001-25),1,20.11464394226918,76.33221326883677,115.74448294667505
California,gradual,Full record (2001-25),2,40.23677505896144,122.05884810694359,148.46254897372376
California,gradual,Full record (2001-25),3,59.414141242585536,146.5085588760653,191.1452360228696
California,gradual,Full record (2001-25),4,77.92669112454811,170.0148659597996,228.4543452128727
California,gradual,Full record (2001-25),5,95.29246362763645,197.06877658809964,253.03436567087866
California,gradual,Full record (2001-25),6,112.62552901630458,224.5685923426319,280.0301492336551
California,gradual,Full record (2001-25),7,128.93937643695858,242.36387166430129,295.8949247641256
California,gradual,Full record (2001-25),8,145.3301580511766,264.27513644962585,312.68036133536214
California,gradual,Full record (2001-25),9,161.32524592021988,280.9050803375017,337.6580268635121
California,gradual,Full record (2001-25),10,176.44138155145566,300.52889709643824,355.29115834755123
California,gradual,Full record (2001-25),11,191.55860359181727,314.4477820650311,366.80553758618663
California,gradual,Full record (2001-25),12,205.68227548490572,330.96526368757986,383.4905170692152
California,gradual,Full record (2001-25),13,219.47541086143352,342.3000990059774,397.0229214125699
California,gradual,Full record (2001-25),14,232.8931538335977,357.28808413873156,406.58671529708283
California,gradual,Full record (2001-25),15,245.60823664481285,370.6521728553964,419.6462993303202
California,gradual,Full record (2001-25),16,257.27663142352174,383.3996762460564,432.49228817738486
California,gradual,Full record (2001-25),17,269.15651036130834,395.15256736341786,446.0625028470578
California,gradual,Full record (2001-25),18,280.67420995798375,405.74192889095104,456.4920978803268
California,gradual,Full record (2001-25),19,292.3053150754052,416.7958566945182,469.5700677480501
California,gradual,Full record (2001-25),20,303.1891238549628,425.43263307385695,480.4425796796313
California,gradual,Full record (2001-25),21,313.1100741164785,435.21863109607636,487.9773982046688
California,gradual,Full record (2001-25),22,322.87133108767466,445.26379225462654,492.74613403709145
California,gradual,Full record (2001-25),23,332.21667004055433,454.7055520411521,500.5395052414312
California,gradual,Full record (2001-25),24,341.33453617893764,463.15737221951633,509.94653902311995
California,gradual,Full record (2001-25),25,350.5514099536792,472.36637183294454,513.7361897978823
California,gradual,Full record (2001-25),26,359.33340507120784,478.48442559313054,523.90477562777
California,gradual,Full record (2001-25),27,368.01536765884646,486.9226426517554,536.9439263535074
California,gradual,Full record (2001-25),28,377.01606111780774,492.8912356418358,539.2574219985623
California,gradual,Full record (2001-25),29,385.41912340235115,500.32753103999784,545.7732064061472
California,gradual,Full record (2001-25),30,393.0989533535818,508.13817899106004,553.5407924588368
California,gradual,Full record (2001-25),31,400.28939721070066,513.429723474858,558.9325035663237
California,gradual,Full record (2001-25),32,407.6929715195003,523.2155968994975,561.8190587961116
California,gradual,Full record (2001-25),33,414.71948861502364,527.4051668574115,573.7074231322425
California,gradual,Full record (2001-25),34,421.4954645842996,535.7713935107065,579.059973104902
California,gradual,Full record (2001-25),35,428.29931483839283,540.6689809241233,584.6082703222642
California,gradual,Full record (2001-25),36,435.19337204726077,545.0576702238797,592.06463035997206
California,gradual,Full record (2001-25),37,441.5303221910902,553.4019088194456,592.9926218090583
California,gradual,Full record (2001-25),38,447.99957975985257,559.3816565606271,597.8730321448577
California,gradual,Full record (2001-25),39,453.4746844097498,564.1360269778596,602.815032546227
California,gradual,Full record (2001-25),40,459.2773528626765,569.5431476781287,608.8331209692287
California,gradual,Full record (2001-25),41,465.04553171629743,573.4227062759785,612.5195204223156
California,gradual,Full record (2001-25),42,470.4905770695182,577.90495289967,616.4735468861819
California,gradual,Full record (2001-25),43,476.0182936730528,582.6141068847784,624.5345044011891
California,gradual,Full record (2001-25),44,481.53443828253853,589.208928167465,628.0699143947628
California,gradual,Full record (2001-25),45,486.67197136288314,593.2752748502589,629.2844825212379
California,gradual,Full record (2001-25),46,491.7701392423137,598.009886327702,633.8950852294762
California,gradual,Full record (2001-25),47,496.5021891324386,600.1115655694725,641.9859731054468
California,gradual,Full record (2001-25),48,500.7012691874354,605.7406926110084,645.4878255809031
California,gradual,Full record (2001-25),49,505.21266956265674,607.8344684879615,650.6637345271231
California,gradual,Full record (2001-25),50,509.39362480501825,612.3850575320429,653.244048988191
California,gradual,Full record (2001-25),51,513.6047795489808,616.2871889336503,654.2378298266907
California,gradual,Full record (2001-25),52,517.9288537743247,618.7021997237581,658.8410672422735
California,gradual,Full record (2001-25),53,522.0445181144686,621.4825802997835,659.5434203475143
California,gradual,Full record (2001-25),54,525.9824452098082,625.7657827223243,661.7560263636867
California,gradual,Full record (2001-25),55,530.2611675469291,628.0005460782297,669.6037599209594
California,gradual,Full record (2001-25),56,533.9479121641127,629.5102995354737,672.923207023985
California,gradual,Full record (2001-25),57,537.7224823148861,633.3239795888356,673.298192625466
California,gradual,Full record (2001-25),58,541.3382726391666,636.7233187356663,674.5568319048741
California,gradual,Full record (2001-25),59,544.7560153392499,639.2170176325125,676.551966448722
California,gradual,Full record (2001-25),60,548.4648232209057,642.8321254850921,680.5357420108267
California,gradual,Full record (2001-25),61,552.0827504942966,646.9309599216527,685.7347899847312
California,gradual,Full record (2001-25),62,555.3021430113237,648.6562725839661,685.1305200303221
California,gradual,Full record (2001-25),63,558.2549316642876,652.2489188015641,689.7943827426305
California,gradual,Full record (2001-25),64,561.524488968213,655.363384612592,690.1461588383911
California,gradual,Full record (2001-25),65,564.6560546849817,656.8272750080644,689.1703152794878
California,gradual,Full record (2001-25),66,567.7962097282921,658.2256660319782,691.4985664524494
California,gradual,Full record (2001-25),67,570.8740781725595,660.3895374852495,694.7716139216087
California,gradual,Full record (2001-25),68,573.9784541445966,662.6460362065599,696.9812969724884
California,gradual,Full record (2001-25),69,576.9732186237441,666.2970284228136,701.2079515199911
California,gradual,Full record (2001-25),70,579.6394899368754,667.8997397305569,701.230745614308
California,gradual,Full record (2001-25),71,582.6874853007229,669.8693487114354,708.4871819746648
California,gradual,Full record (2001-25),72,585.4200578251214,672.2858314047697,707.5564274457796
California,gradual,Full record (2001-25),73,588.0817357156044,676.8540922783762,710.0286705000822
California,gradual,Full record (2001-25),74,590.6318939064686,676.7821081901589,709.285656220996
California,gradual,Full record (2001-25),75,593.7811214909058,679.59622130725,713.8582462541466
California,gradual,Full record (2001-25),76,596.3172183049849,683.0883038269322,715.116191660293
California,gradual,Full record (2001-25),77,598.6512845342929,686.0283630078139,721.1325856840019
California,gradual,Full record (2001-25),78,600.998892417648,688.305954295802,724.39898784643
California,gradual,Full record (2001-25),79,603.6012385477673,689.4324424649565,726.5389524830966
California,gradual,Full record (2001-25),80,605.8910182622088,691.9945055126225,727.3038514781117
California,gradual,Full record (2001-25),81,608.302476177106,693.3740931183647,728.3971045581133
California,gradual,Full record (2001-25),82,610.5499627877562,694.8621492876568,726.5147920977591
California,gradual,Full record (2001-25),83,613.2632619346123,696.8218334229409,728.9340801667763
California,gradual,Full record (2001-25),84,615.4400963673475,699.2592603761091,729.8795399214217
California,gradual,Full record (2001-25),85,617.5591362697323,700.9885545235323,732.6647709510816
California,gradual,Full record (2001-25),86,619.6248653164253,702.5103022941308,730.7112495007727
California,gradual,Full record (2001-25),87,621.6511302803084,703.2090483878453,734.0883187526751
California,gradual,Full record (2001-25),88,623.9602960804685,704.1477635174356,736.0020791465413
California,gradual,Full record (2001-25),89,625.9202897033128,706.1476727855911,736.6571217498727
California,gradual,Full record (2001-25),90,628.2936508948678,708.0575548629613,738.0746043105462
California,gradual,Full record (2001-25),91,630.5406977897861,710.3563680453639,739.5907675328529
California,gradual,Full record (2001-25),92,632.4409281477004,711.7002661447214,742.2563230099175
California,gradual,Full record (2001-25),93,634.4743445149347,714.7406582419057,743.3988036567825
California,gradual,Full record (2001-25),94,636.4408454292764,715.7466621397824,749.2415652883079
California,gradual,Full record (2001-25),95,638.0931904488734,718.3437189802576,747.3142291121071
California,gradual,Full record (2001-25),96,640.083712652673,720.4343044194138,751.1912344631323
California,gradual,Full record (2001-25),97,641.9443990409677,721.6148602828966,749.8693010896033
California,gradual,Full record (2001-25),98,643.6525796446108,725.2006274590445,753.2178262102198
California,gradual,Full record (2001-25),99,645.6508542931819,726.078339529731,756.0887938513733
California,gradual,Full record (2001-25),100,647.5911243048012,727.9364451063935,758.2739898391413
California,gradual,Full record (2001-25),101,649.0293982622235,729.0740686882425,761.9490774438943
California,gradual,Full record (2001-25),102,650.7775267587936,730.20535854868,760.9200738627693
California,gradual,Full record (2001-25),103,652.556326729734,732.5965647825703,762.693377262631
California,gradual,Full record (2001-25),104,654.361650276833,734.1571903848144,761.6684402446143
California,gradual,Full record (2001-25),105,656.1213559579749,735.7687184967579,764.1169736015721
California,gradual,Full record (2001-25),106,657.9007513169032,736.0110627994713,764.3039586910509
California,gradual,Full record (2001-25),107,659.0336257067237,735.7993661127177,762.6859697419843
California,gradual,Full record (2001-25),108,660.7172091724551,737.2095731277407,764.5334263482563
California,gradual,Full record (2001-25),109,662.4241840450783,738.5436864408437,767.0576745455464
California,gradual,Full record (2001-25),110,664.021016721854,739.4658683353796,766.7144807647502
California,gradual,Full record (2001-25),111,665.1744184254871,739.7692387229619,767.3103126900377
California,gradual,Full record (2001-25),112,666.7726226476434,743.2918008384647,768.575564494736
California,gradual,Full record (2001-25),113,668.3255572442437,744.8942071217681,769.0160183481204
California,gradual,Full record (2001-25),114,669.9836576896076,745.1914694207029,771.1212335185023
California,gradual,Full record (2001-25),115,671.5831370541524,747.5040042240678,772.9307646598901
California,gradual,Full record (2001-25),116,673.2162791619514,748.3504995504494,777.9321562493194
California,gradual,Full record (2001-25),117,675.0090419243143,750.242018631509,782.5919610538043
California,gradual,Full record (2001-25),118,676.7426902005877,752.51153973678,779.3316619633985
California,gradual,Full record (2001-25),119,678.2088397512563,755.3556977713685,780.6095534286575
California,gradual,Full record (2001-25),120,679.5219982765387,755.8593178021888,782.6179404715108
California,gradual,Full record (2001-25),121,681.2969549867423,756.5036812045458,783.7948491097643
California,gradual,Full record (2001-25),122,682.9720323314987,756.9871787015951,784.1548606269965
California,gradual,Full record (2001-25),123,684.466339353311,758.5005264333073,783.1519272073767
California,gradual,Full record (2001-25),124,685.8746102713023,758.7585827767208,786.9586860694986
California,gradual,Full record (2001-25),125,687.1956896984608,759.3813147889331,786.3781798725266
California,gradual,Full record (2001-25),126,688.5719793426092,762.1753708145125,787.8351531092549
California,gradual,Full record (2001-25),127,689.7861175463482,763.2209345754243,788.6901001658802
California,gradual,Full record (2001-25),128,691.2657679948501,764.2878783691126,790.0086850441497
California,gradual,Full record (2001-25),129,692.5530608370751,766.1560709207231,791.2381728979485
California,gradual,Full record (2001-25),130,694.0555012823193,766.4767137462234,794.2540234936838
California,gradual,Full record (2001-25),131,695.3676692835013,767.9404883915174,793.2816347750684
California,gradual,Full record (2001-25),132,696.8280101961928,768.3618512535917,793.858707703031
California,gradual,Full record (2001-25),133,698.562445927818,768.9676848442052,796.3920436203541
California,gradual,Full record (2001-25),134,699.837633418767,769.9423487604874,797.2911457103164
California,gradual,Full record (2001-25),135,700.9829626035257,772.7873914135519,797.9968570588012
California,gradual,Full record (2001-25),136,702.0497068131505,773.8918557630485,799.1752392588671
California,gradual,Full record (2001-25),137,703.4214500193307,775.3786937158893,797.6401829854989
California,gradual,Full record (2001-25),138,704.8492658542482,775.4122870714182,799.2966555912615
California,gradual,Full record (2001-25),139,706.1731493654752,775.6015870514201,797.0225782644726
California,gradual,Full record (2001-25),140,707.8671692705557,777.4220587374095,802.0488096853728
California,gradual,Full record (2001-25),141,709.247062962791,778.8931912042608,807.225463145174
