"time_horizon","mean_car","car_95","cvar_95","multiplier","label","regrowth_pct"
1,0.017731333288452,0.0736325526496038,0.0931808326759565,0.5,"0.5x baseline",1
2,0.0348423317084939,0.116661219944891,0.132791755729501,0.5,"0.5x baseline",1
3,0.0526276843918912,0.139105392913056,0.168744809563107,0.5,"0.5x baseline",1
4,0.069002278862168,0.159885801316633,0.196533855236529,0.5,"0.5x baseline",1
5,0.0859778397413406,0.187633575541565,0.225792360312915,0.5,"0.5x baseline",1
6,0.101844245737369,0.217206295238882,0.253397038883202,0.5,"0.5x baseline",1
7,0.117577825704046,0.235647252662094,0.273763683954914,0.5,"0.5x baseline",1
8,0.132799916788933,0.253563624669774,0.292948297152211,0.5,"0.5x baseline",1
9,0.147513202764845,0.275134066719593,0.31185682952076,0.5,"0.5x baseline",1
10,0.161913008595256,0.29494245221377,0.329073940489198,0.5,"0.5x baseline",1
11,0.176229891375737,0.312624244333728,0.348563629552349,0.5,"0.5x baseline",1
12,0.190052919899641,0.325573571995184,0.362669391573017,0.5,"0.5x baseline",1
13,0.203641689593127,0.342520814935144,0.378160273580474,0.5,"0.5x baseline",1
14,0.217210189264353,0.355971009916834,0.390598115708508,0.5,"0.5x baseline",1
15,0.230352115110458,0.368079552576813,0.403344125330483,0.5,"0.5x baseline",1
16,0.243311748343527,0.38239189294869,0.41818748468764,0.5,"0.5x baseline",1
17,0.255881755614682,0.397943814691108,0.432909376578044,0.5,"0.5x baseline",1
18,0.26784247865644,0.410234068049738,0.444846719965447,0.5,"0.5x baseline",1
19,0.279403766302172,0.421907654649748,0.455315147792861,0.5,"0.5x baseline",1
20,0.291223959847097,0.431946783705183,0.466007334071209,0.5,"0.5x baseline",1
21,0.302751544545784,0.443481593619277,0.47783584394231,0.5,"0.5x baseline",1
22,0.313443337741572,0.452749493794625,0.489354044273855,0.5,"0.5x baseline",1
23,0.324296467166511,0.463201094220154,0.499681905034531,0.5,"0.5x baseline",1
24,0.334771003472676,0.475651002300203,0.510860357254398,0.5,"0.5x baseline",1
25,0.344882895383755,0.485147580903456,0.518059825794121,0.5,"0.5x baseline",1
26,0.354883753254885,0.495018271305468,0.526954434051129,0.5,"0.5x baseline",1
27,0.364266201383637,0.502887307036658,0.53460202855271,0.5,"0.5x baseline",1
28,0.373642903964517,0.508895131507896,0.542729904862481,0.5,"0.5x baseline",1
29,0.382289247251558,0.519603964025708,0.551706446507806,0.5,"0.5x baseline",1
30,0.391338693067163,0.527382482966704,0.558431274112112,0.5,"0.5x baseline",1
31,0.40030153602863,0.536215601956169,0.565401007027744,0.5,"0.5x baseline",1
32,0.408383032049516,0.543392293022851,0.572678188721259,0.5,"0.5x baseline",1
33,0.416714495427814,0.547772395711149,0.578229281002383,0.5,"0.5x baseline",1
34,0.424367101437627,0.554591748973792,0.584265880890651,0.5,"0.5x baseline",1
35,0.433000934970583,0.563864914324613,0.591367749785314,0.5,"0.5x baseline",1
36,0.440744042311481,0.570975060375379,0.598872762017243,0.5,"0.5x baseline",1
37,0.448454172875119,0.576896259213135,0.605532389654447,0.5,"0.5x baseline",1
38,0.45561396720043,0.582761943513405,0.611681481717307,0.5,"0.5x baseline",1
39,0.462548094668774,0.591681447456253,0.618393644353725,0.5,"0.5x baseline",1
40,0.469703271766925,0.598010307106024,0.62553312580108,0.5,"0.5x baseline",1
41,0.4762526907494,0.605144407624342,0.631077454544156,0.5,"0.5x baseline",1
42,0.482722621688406,0.61005968420216,0.635484400707885,0.5,"0.5x baseline",1
43,0.489264685124977,0.615600210273527,0.639754198553368,0.5,"0.5x baseline",1
44,0.495639249701282,0.619843124379139,0.645461250210486,0.5,"0.5x baseline",1
45,0.501445698885473,0.623806029849842,0.649277411667915,0.5,"0.5x baseline",1
46,0.507433854730678,0.628603194821844,0.652887805130774,0.5,"0.5x baseline",1
47,0.513381201564554,0.632722282312529,0.659118357175792,0.5,"0.5x baseline",1
48,0.518930609275316,0.637936785359581,0.662743362378864,0.5,"0.5x baseline",1
49,0.524545103726372,0.641988641553859,0.666129009955926,0.5,"0.5x baseline",1
50,0.529941842070011,0.646434510537655,0.669825450269795,0.5,"0.5x baseline",1
51,0.535314396657551,0.651432233625626,0.675640761685133,0.5,"0.5x baseline",1
52,0.540977820387763,0.656844075366859,0.680159511186242,0.5,"0.5x baseline",1
53,0.545937895615452,0.66239808856173,0.684571290919119,0.5,"0.5x baseline",1
54,0.550967335640023,0.667770673855567,0.689777308905468,0.5,"0.5x baseline",1
55,0.555548763214466,0.669031437125316,0.692211675586688,0.5,"0.5x baseline",1
56,0.560278534124013,0.671655885688029,0.693509094823418,0.5,"0.5x baseline",1
57,0.56462924933174,0.674408879722992,0.69612044592662,0.5,"0.5x baseline",1
58,0.56896194551619,0.676370414828395,0.697662171857904,0.5,"0.5x baseline",1
59,0.57345253157753,0.680879601452581,0.702143141182502,0.5,"0.5x baseline",1
60,0.577971817545796,0.684348120109587,0.706056416353359,0.5,"0.5x baseline",1
61,0.582117857111391,0.686291276749716,0.709035922059794,0.5,"0.5x baseline",1
62,0.585785288434255,0.688911428785144,0.711073253038585,0.5,"0.5x baseline",1
63,0.589637007514837,0.694064349082983,0.7151846965023,0.5,"0.5x baseline",1
64,0.593024194842101,0.697039453128444,0.717994682790621,0.5,"0.5x baseline",1
65,0.596886897216652,0.699008900946656,0.719691313659119,0.5,"0.5x baseline",1
66,0.600580027704602,0.700572364038197,0.723366178161579,0.5,"0.5x baseline",1
67,0.604734268395818,0.70355637701285,0.72582183483846,0.5,"0.5x baseline",1
68,0.607939706628746,0.707333581981125,0.729308639640494,0.5,"0.5x baseline",1
69,0.611490998127963,0.709589628208752,0.732372345889439,0.5,"0.5x baseline",1
70,0.614987271862099,0.713067573696995,0.734689577171229,0.5,"0.5x baseline",1
71,0.617916365233061,0.715726281827324,0.737219431812753,0.5,"0.5x baseline",1
72,0.620694594995775,0.715547039277876,0.737391917457858,0.5,"0.5x baseline",1
73,0.62357218491356,0.717511293540931,0.740024094404304,0.5,"0.5x baseline",1
74,0.626375814163036,0.71949668313621,0.739952195365401,0.5,"0.5x baseline",1
75,0.629365216107547,0.720084275491284,0.742138215749642,0.5,"0.5x baseline",1
76,0.632253197633777,0.724459661472691,0.744677822907459,0.5,"0.5x baseline",1
77,0.635311989466419,0.727485865241929,0.746905623374389,0.5,"0.5x baseline",1
78,0.638080694109289,0.729599326835017,0.749871259748189,0.5,"0.5x baseline",1
79,0.640362222116893,0.7312777730434,0.750843525012284,0.5,"0.5x baseline",1
80,0.643137907282476,0.733699494990285,0.753089485472291,0.5,"0.5x baseline",1
81,0.645806020170499,0.737412842629566,0.755336870742753,0.5,"0.5x baseline",1
82,0.648539878575586,0.739390191084261,0.757010573966683,0.5,"0.5x baseline",1
83,0.650847961393322,0.740561439720426,0.758065998900045,0.5,"0.5x baseline",1
